ponto_especifico;ponto;mes;ano;ID;CT;CP;raios_peitoral_d;raios_peitoral_e;raios_peitoral_dif;raios_pelv_d;raios_pelv_e;raios_pelv_dif;doop_d;doop_e;doop_dif;dob_d;dob_e;dob_dif;bpeit_ppelv_d;bpeit_ppelv_e;bpeit_ppelv_dif;diam_olho_d;diam_olho_e;diam_olho_dif
POÇÃO (pt 12,5);montante;Novembro;2023;127;6,4;4,89;13;13;0;8;8;0;1,2;1,2;0;0,8;0,83;-0,03;0,99;0,97;0,02;0,45;0,45;0
POÇÃO (pt 12,5);montante;Novembro;2023;128;5,81;4,55;13;13;0;8;8;0;1,11;1,11;0;0,79;0,78;0,01;0,97;0,97;0;0,44;0,45;-0,01
POÇÃO (pt 12,5);montante;Novembro;2023;129;5,3;4,03;13;13;0;8;8;0;1,02;1,02;0;0,67;0,69;-0,02;0,85;0,85;0;0,38;0,39;-0,01
POÇÃO (pt 12,5);montante;Novembro;2023;130;5,16;4,01;13;13;0;8;8;0;1,03;1,01;0,02;0,71;0,68;0,03;0,85;0,83;0,02;0,4;0,4;0
POÇÃO (pt 12,5);montante;Novembro;2023;131;6,19;4,8;13;13;0;8;8;0;1,15;1,15;0;0,77;0,77;0;0,98;0,99;-0,01;0,43;0,43;0
POÇÃO (pt 12,5);montante;Novembro;2023;132;5,84;4,65;13;13;0;8;8;0;1,12;1,1;0,02;0,72;0,71;0,01;0,96;0,96;0;0,45;0,44;0,01
POÇÃO (pt 12,5);montante;Novembro;2023;133;5,43;4,18;13;13;0;8;8;0;0,99;0,99;0;0,7;0,7;0;0,92;0,91;0,01;0,42;0,41;0,01
POÇÃO (pt 12,5);montante;Novembro;2023;134;6,36;4,77;14;14;0;8;8;0;1,2;1,19;0,01;0,84;0,82;0,02;1,04;1,04;0;0,49;0,47;0,02
POÇÃO (pt 12,5);montante;Novembro;2023;135;3,88;3,08;11;10;1;8;8;0;0,76;0,75;0,01;0,54;0,55;-0,01;0,57;0,57;0;0,31;0,31;0
POÇÃO (pt 12,5);montante;Novembro;2023;136;5,84;4,43;14;14;0;8;8;0;1,09;1,09;0;0,78;0,78;0;1,09;1,08;0,01;0,44;0,44;0
POÇÃO (pt 12,5);montante;Novembro;2023;137;4,75;3,7;12;12;0;8;8;0;0,92;0,92;0;0,71;0,71;0;0,77;0,8;-0,03;0,39;0,4;-0,01
POÇÃO (pt 12,5);montante;Novembro;2023;138;4,98;3,84;13;13;0;8;8;0;0,96;0,96;0;0,68;0,69;-0,01;0,76;0,76;0;0,42;0,42;0
POÇÃO (pt 12,5);montante;Novembro;2023;139;5,72;4,41;14;14;0;8;8;0;1,07;1,06;0,01;0,71;0,73;-0,02;0,94;0,93;0,01;0,42;0,43;-0,01
POÇÃO (pt 12,5);montante;Novembro;2023;140;2,98;2,44;9;7;2;8;8;0;0,59;0,61;-0,02;0,43;0,43;0;0,56;0,54;0,02;0,24;0,24;0
POÇÃO (pt 12,5);montante;Novembro;2023;141;3,64;2,84;11;11;0;8;8;0;0,7;0,7;0;0,47;0,49;-0,02;0,6;0,59;0,01;0,26;0,26;0
POÇÃO (pt 12,5);montante;Novembro;2023;142;4,57;3,48;13;13;0;8;8;0;0,88;0,89;-0,01;0,6;0,61;-0,01;0,71;0,71;0;0,36;0,35;0,01
POÇÃO (pt 12,5);montante;Novembro;2023;143;3,56;2,82;13;13;0;8;8;0;0,69;0,71;-0,02;0,49;0,46;0,03;0,61;0,62;-0,01;0,28;0,28;0
POÇÃO (pt 12,5);montante;Novembro;2023;144;3,35;2,71;9;9;0;8;8;0;0,69;0,69;0;0,45;0,46;-0,01;0,59;0,57;0,02;0,28;0,28;0
POÇÃO (pt 12,5);montante;Novembro;2023;145;3,45;2,76;11;11;0;8;8;0;0,69;0,68;0,01;0,46;0,46;0;0,63;0,62;0,01;0,27;0,28;-0,01
POÇÃO (pt 12,5);montante;Novembro;2023;146;6,35;4,97;13;13;0;8;8;0;1,15;1,15;0;0,83;0,83;0;1,07;1,09;-0,02;0,45;0,45;0
POÇÃO (pt 12,5);montante;Novembro;2023;147;2,8;2,26;9;11;-2;8;8;0;0,58;0,56;0,02;0,38;0,39;-0,01;0,47;0,47;0;0,22;0,22;0
8;intermediario;Março;2024;148;5,77;4,52;13;13;0;8;8;0;1,09;1,1;-0,01;0,78;0,78;0;0,95;0,97;-0,02;0,41;0,43;-0,02
8;intermediario;Março;2024;149;5,46;4,29;13;13;0;8;8;0;1,08;1,08;0;0,74;0,74;0;0,93;0,94;-0,01;0,42;0,43;-0,01
8;intermediario;Março;2024;150;5,77;4,41;13;13;0;8;8;0;1,08;1,09;-0,01;0,75;0,75;0;0,91;0,93;-0,02;0,43;0,42;0,01
8;intermediario;Março;2024;151;6,47;4,98;13;14;-1;8;8;0;1,25;1,25;0;0,89;0,88;0,01;1,04;1,08;-0,04;0,48;0,48;0
8;intermediario;Março;2024;152;6,92;5,33;13;13;0;8;8;0;1,34;1,32;0,02;0,92;0,92;0;1,12;1,13;-0,01;0,5;0,5;0
8;intermediario;Março;2024;153;5,79;4,6;13;13;0;8;8;0;1,14;1,14;0;0,79;0,78;0,01;0,98;1;-0,02;0,46;0,45;0,01
8;intermediario;Março;2024;154;5,94;4,72;13;13;0;8;8;0;1,16;1,17;-0,01;0,82;0,82;0;1;1;0;0,44;0,45;-0,01
6;jusante;Março;2024;155;6,88;5,42;13;13;0;8;8;0;1,3;1,32;-0,02;0,9;0,9;0;1,09;1,09;0;0,5;0,5;0
6;jusante;Março;2024;156;6,54;5,15;14;14;0;8;8;0;1,23;1,23;0;0,89;0,9;-0,01;0,99;0,97;0,02;0,5;0,5;0
6;jusante;Março;2024;157;5,69;4,44;13;13;0;8;8;0;1,12;1,14;-0,02;0,79;0,8;-0,01;0,95;0,93;0,02;0,46;0,45;0,01
6;jusante;Março;2024;158;4,79;3,65;14;13;1;8;8;0;0,92;0,92;0;0,66;0,66;0;0,76;0,74;0,02;0,39;0,39;0
6;jusante;Março;2024;159;5,24;4,05;13;13;0;8;8;0;1,02;1,01;0,01;0,72;0,73;-0,01;0,9;0,88;0,02;0,42;0,42;0
6;jusante;Março;2024;160;5,09;3,86;13;13;0;8;8;0;0,95;0,96;-0,01;0,69;0,68;0,01;0,78;0,77;0,01;0,39;0,39;0
6;jusante;Março;2024;161;5,7;4,39;13;13;0;8;8;0;1,12;1,12;0;0,79;0,79;0;0,9;0,87;0,03;0,45;0,46;-0,01
Entre 12,5 e 13;montante;Novembro;2023;162;6,15;4,64;15;14;1;8;8;0;1,16;1,16;0;0,82;0,84;-0,02;0,97;0,97;0;0,46;0,46;0
Entre 12,5 e 13;montante;Novembro;2023;163;5,65;4,24;15;13;2;8;8;0;1,06;1,06;0;0,75;0,76;-0,01;1,02;1;0,02;0,44;0,45;-0,01
Entre 12,5 e 13;montante;Novembro;2023;164;5,44;4,44;14;13;1;8;8;0;1,04;1,07;-0,03;0,8;0,72;0,08;0,94;0,84;0,1;0,44;0,45;-0,01
Entre 12,5 e 13;montante;Novembro;2023;165;5,1;4,07;14;14;0;8;8;0;0,99;1,01;-0,02;0,7;0,72;-0,02;0,8;0,81;-0,01;0,41;0,39;0,02
Mont, pto 13;montante;Março;2024;166;10,94;8,94;14;14;0;8;8;0;2;2,01;-0,01;1,43;1,41;0,02;1,72;1,78;-0,06;0,68;0,68;0
Mont, pto 13;montante;Março;2024;167;10,02;8,34;14;14;0;8;8;0;1,76;1,74;0,02;1,28;1,33;-0,05;1,78;1,81;-0,03;0,69;0,69;0
Mont, pto 13;montante;Março;2024;168;8,25;6,29;13;13;0;8;8;0;1,5;1,49;0,01;1,01;1,03;-0,02;1,21;1,34;-0,13;0,53;0,53;0
